//* Řádky dialogů začínají kódem ve stylu "v2;30;", který určuje, kdo mluví a kdy se replika objeví. Tento kód prosím přesně okopírujte do překladů.
//* První polovina řádku (až po /) je v jazyce vesničanů a musí zůstat beze změny, druhou polovinu je třeba přeložit.
//v2;30;Paidí, ti sou édeixe o Theós? / Dítě, co ti Bůh ukázal?
//v1;60;Patéra, ta sýmvola ítan "Tiklón". Xérate ti ennooún? / Otče, symboly byly „Tiklón". Víte, co znamenají?
//v2;90;O Theós doulévei me mystiriódi trópo / Cesty Páně jsou nevyzpytatelné.

//newchat;key:nobakery,building:farm,notbuilding:bakerybyzantine,v1:adult,v2:adult,weigth:15
//v1;0;Ach, poios den thélei frésko, nóstimo psomí apó to agróktima sitarioú? / Ach, kdo by nechtěl čerstvý a chutný chleba z pšeničné farmy?
//v2;30;Xérete óti chreiazómaste éna artopoieío gia na metatrépsoume to sitári se psomí sostá? / Víš, že potřebujeme pekárnu, abychom z pšenice udělali chleba?
//v1;60;Prépei na me gelás. Tóra tha petháno. / Děláš si ze mě legraci. Teď tu umřu hladem.
//v2;90;Limoktonó? Símera to proí fágate to proinó mou! Tha eímai o peinasménos. / Hladem? Dneska ráno jsi snědl mou snídani! To já umřu hladem.
//v1;120;To chreiázomai perissótero apó eséna! / Já to potřebuju víc než ty!
//v2;150;Den xéro giatí sas miláo! / Nevím, proč s tebou vůbec mluvím!
//v1;180;Chreiazómaste éna artopoieío, aftó eínai simantikó. / Potřebujeme pekárnu, to je důležité.
